"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","MeanDecreaseAccuracy","MeanDecreaseGini"
"chromacens.mean.03",0.000312171152579037,0.000116127858805275,0.000559276824589236,0.000126485788446699,0.0026439778003805,0.0018280280574358,4.32114595387573e-06,0.000131940965516365,7.90873778935845e-05,0.000631953008960096,1.92567401115169
"chromacens.mean.04",0.000169818135716715,-6.14576162521933e-06,3.10349125380601e-05,-0.000150893408502857,0.0019852348727198,0.00143542080837231,9.9134575168367e-05,0.000164854852443673,0.000148094638758098,0.000434718064528842,1.55379486705368
"chromacens.mean.05",0.000559660264632764,-0.000106597225503222,0.000106594466429862,-7.11775277478429e-05,0.00144493671157066,0.00131440175865367,7.98394040813113e-05,3.17428470258272e-05,0.000217689533459105,0.000393819796678595,1.62286308333297
"chromacens.mean.06",-5.56358432968123e-05,-7.61611766478391e-05,-0.000114406037533589,-8.44564514513961e-05,0.00186663721743127,0.00153680563451857,0.000292719193836796,0.000100417747360554,0.000182265730671378,0.000417928327321187,1.66392284578498
"chromacens.mean.07",0.000182172328118018,7.71884348749754e-05,-4.15293259408378e-05,0.000137849351809803,0.00125064341902401,0.00183817038233193,9.83298258904132e-05,-2.40904806306938e-05,5.75729276251794e-05,0.00040030945363379,1.67943263693453
"chromacens.mean.08",-1.18742537857111e-05,-9.08889187101996e-05,0.000214716294623169,0.000173079090933745,0.00196955473822143,0.00111251684243472,9.9395820357563e-05,0.000134913925850973,-0.000127975230855659,0.000382340240107952,1.57178809366254
"chromacens.mean.09",-6.69914924324005e-06,-0.000106750409598613,3.95116807437755e-05,4.58447915594407e-05,0.00315449891761217,0.00181173706966176,0.000164429268359833,0.000446979663407107,7.24070535480489e-05,0.000623193546585877,1.96046485704671
"chromacens.mean.10",0.00019892759925651,3.09886249815015e-05,3.4941078160303e-05,0.000206957267583948,0.00106156506556232,0.00146779970777625,1.62681949709853e-05,0.000224988444996847,-0.000109778035070386,0.000349421318421586,1.49675436672665
"chromacens.mean.11",6.21595597027441e-05,0.00029079316457922,0.000104984913648285,0.000116015796484417,0.00123554912324347,0.00131174059007745,3.68706660478579e-05,-0.000131111242456528,0.000623678271058359,0.000404867169626676,1.52939166250048
"chromacens.mean.12",6.17789461543477e-05,-5.01619653736711e-05,0.000102664608549077,-1.47786202382507e-05,0.00168451514286503,0.00135999024999913,0.000270132308404935,-2.02897653482862e-05,6.94400156301035e-05,0.000385295632218543,1.54374988275303
