,V1,V2,V3,V4
531,zcr.std.01,5.56E-77,2.80E-74,LibROSA
405,mfcc.std.20,6.38E-77,3.21E-74,LibROSA
353,mfcc.min.08,1.78E-76,8.96E-74,LibROSA
342,mfcc.median.17,1.08E-75,5.42E-73,LibROSA
257,chromastft.std.04,1.36E-75,6.86E-73,LibROSA
256,chromastft.std.03,3.44E-75,1.73E-72,LibROSA
340,mfcc.median.15,9.04E-75,4.54E-72,LibROSA
96,chromacens.std.11,1.17E-74,5.90E-72,LibROSA
134,chromacqt.median.01,4.55E-74,2.29E-71,LibROSA
526,zcr.max.01,1.14E-73,5.71E-71,LibROSA
163,chromacqt.skew.06,1.21E-73,6.07E-71,LibROSA
362,mfcc.min.17,1.48E-73,7.47E-71,LibROSA
493,tonnetz.max.05,6.30E-73,3.17E-70,LibROSA
347,mfcc.min.02,1.56E-72,7.87E-70,LibROSA
372,mfcc.skew.07,8.35E-72,4.20E-69,LibROSA
512,tonnetz.min.06,9.16E-71,4.61E-68,LibROSA
127,chromacqt.mean.06,1.73E-70,8.69E-68,LibROSA
503,tonnetz.median.03,3.28E-70,1.65E-67,LibROSA
258,chromastft.std.05,1.22E-69,6.13E-67,LibROSA
322,mfcc.mean.17,1.49E-69,7.50E-67,LibROSA
320,mfcc.mean.15,3.10E-68,1.56E-65,LibROSA
92,chromacens.std.07,5.23E-68,2.63E-65,LibROSA
122,chromacqt.mean.01,3.84E-67,1.93E-64,LibROSA
93,chromacens.std.08,4.05E-67,2.04E-64,LibROSA
519,tonnetz.std.01,5.85E-66,2.94E-63,LibROSA
255,chromastft.std.02,8.45E-66,4.25E-63,LibROSA
373,mfcc.skew.08,1.02E-64,5.15E-62,LibROSA
355,mfcc.min.10,1.23E-64,6.21E-62,LibROSA
400,mfcc.std.15,3.91E-64,1.97E-61,LibROSA
173,chromacqt.std.04,5.56E-64,2.80E-61,LibROSA
259,chromastft.std.06,7.20E-64,3.62E-61,LibROSA
86,chromacens.std.01,2.70E-62,1.36E-59,LibROSA
95,chromacens.std.10,4.79E-62,2.41E-59,LibROSA
370,mfcc.skew.05,1.40E-61,7.05E-59,LibROSA
94,chromacens.std.09,9.04E-61,4.55E-58,LibROSA
